Row	Empty	ACE_BATCH_mu=0.3_S	FRU_BATCH_mu=0.65_S	FUM_BATCH_mu=0.42_S	GAL_BATCH_mu=0.26_S	GAM_BATCH_mu=0.46_S	GLC_BATCH_mu=0.58_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	SUCC_BATCH_mu=0.44_S	XYL_BATCH_mu=0.55_S	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.40_V	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.41_P	GLC_CHEM_mu=0.46_P	GLC_CHEM_mu=0.51_P
P62617		2.5579956677998E-06	2.72056046506333E-06	2.43323827770052E-06	2.57748974274902E-06	2.29677154695207E-06	2.632925140891E-06	2.95309845260791E-06	3.15033510039075E-06	2.46872824583468E-06	3.30149619916191E-06	2.96074432296693E-06	2.62524052769118E-06	2.6273238409216E-06	2.5569154423818E-06	2.72807632876437E-06	NaN	NaN	NaN	NaN	NaN	5.45513794986488E-06	5.76221933054566E-06	3.97335146169185E-06	4.37541217167744E-06	4.5443703844931E-06	3.85831095603437E-06	3.69769123608925E-06	4.03470196553273E-06
Q46893		1.01995157442056E-07	6.98181137252171E-08	1.17398635719837E-07	6.79880600329373E-08	9.42623759475594E-08	1.19189557424067E-07	9.59879936446064E-08	5.31974762236093E-08	1.07663305316378E-07	5.5955909847796E-08	9.8258021524746E-08	1.04849658506642E-07	1.18371458924978E-07	1.21227727795557E-07	1.33467896829612E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0A6S5		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.17081756137175E-08	NaN	5.7407357289513E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0A6J1		1.03233451288307E-06	1.02144903367261E-06	9.79820979424136E-07	6.22389022438159E-07	9.31004212318244E-07	1.4781843907797E-06	1.03589266850617E-06	7.51111768378277E-07	9.56208757836075E-07	8.78033846440547E-07	9.54913584370265E-07	3.33988139284481E-07	3.86176905542495E-07	6.04272629331676E-07	8.35956109519066E-07	NaN	NaN	NaN	NaN	NaN	7.91482337463129E-07	7.85165400417957E-07	1.00231656602935E-06	1.25846860472076E-06	1.29586178251627E-06	1.52900628669856E-06	1.46943176290896E-06	1.86248453488362E-06
P23845		1.50656167562739E-06	2.74801511655255E-06	1.82797956718542E-06	1.32831729211706E-06	1.99005391372418E-06	2.6928831403444E-06	2.21064008953437E-06	1.56497025539794E-06	2.01492811839721E-06	1.65603358287435E-06	1.862447612473E-06	1.00087857900556E-06	1.39287862641826E-06	1.96056811244596E-06	2.86979360786474E-06	3.67396752246434E-06	5.87086051498993E-06	7.25776274958051E-06	8.42944907613307E-06	9.29937019330897E-06	4.23581353900027E-06	4.2408877877491E-06	5.03553069972034E-06	5.57945614358196E-06	6.32912614921545E-06	7.01811145053689E-06	7.2155346732043E-06	8.14113766557196E-06
P21156		1.28839442766253E-06	1.89267097433578E-06	1.61031861364951E-06	9.57138003886332E-07	1.43458194201364E-06	2.30393573963486E-06	1.62712610275201E-06	1.19232107673518E-06	1.48200582734061E-06	1.22424275397217E-06	1.50361104928351E-06	6.16438659105985E-07	8.71468437534128E-07	9.973507062447E-07	1.62847669606149E-06	4.73802073531727E-06	6.83135648240394E-06	8.60818344726963E-06	1.07544551623844E-05	1.42383664574324E-05	4.12228232762642E-06	4.07870457510597E-06	4.86013830119089E-06	5.56192931530012E-06	6.07139289651743E-06	6.9282383489625E-06	7.81737921547654E-06	8.4094678514124E-06
P10423		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q46896		3.53878565238311E-06	3.56725171712035E-06	3.88901305786193E-06	3.05265478790219E-06	4.82837318166104E-06	3.53450989331015E-06	3.99697741367506E-06	3.73270546532667E-06	4.26752464381924E-06	3.20200819075006E-06	3.4660300665494E-06	4.72464373038883E-06	4.98301989913124E-06	4.54551563232044E-06	4.41276480197695E-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P17854		1.54651087285802E-06	2.60494493269294E-06	2.34898306377604E-06	1.87174362460403E-06	2.77250077519597E-06	3.29703440079421E-06	2.99691822969071E-06	1.75351537714783E-06	2.51007063303226E-06	1.84822233701871E-06	1.89455100423402E-06	9.15653471383843E-07	1.05518249007373E-06	1.27723118676059E-06	1.58842697397148E-06	2.39847235366665E-06	2.80117820169757E-06	3.43052245276877E-06	3.19905339104913E-06	4.1579894582646E-06	2.48372348424562E-06	2.64407297721113E-06	3.00502771224772E-06	2.92799875572014E-06	3.2186449519102E-06	3.38897091567474E-06	3.48815234428773E-06	3.90094517604617E-06
P17846		3.44506037257149E-06	4.58897274734022E-06	4.02814411062272E-06	3.03462178604483E-06	4.17702554150506E-06	5.33558866412496E-06	4.86548196459049E-06	3.52412790089996E-06	3.88610388559427E-06	3.40970232946361E-06	3.23021442201268E-06	2.59531374968852E-06	2.55273990307862E-06	2.95265625216062E-06	3.68764222976909E-06	5.11929053545851E-06	6.04249985619116E-06	8.08405698055838E-06	8.28608921595063E-06	8.72064721964863E-06	6.05081880320981E-06	5.92940541275376E-06	6.78036621198389E-06	7.37914124445069E-06	7.8074147752035E-06	8.00943333056337E-06	8.77382320587812E-06	9.0245320015188E-06
P38038		3.43593725359823E-06	6.30612094977123E-06	3.92233477660658E-06	3.21943728614106E-06	4.00874376928572E-06	5.87740770173875E-06	4.92950572762708E-06	3.86534653914971E-06	3.77081216511339E-06	4.02629003735075E-06	4.47597030724712E-06	2.00048593204286E-06	2.19501279023913E-06	2.75540435608649E-06	3.75111196683186E-06	4.43298476745978E-06	5.63008237144026E-06	7.52702165159394E-06	1.14039271579529E-05	1.25201615484152E-05	4.92415926082372E-06	4.90754253521684E-06	5.83149445446746E-06	6.58169282774157E-06	7.32327331674583E-06	8.21516439325129E-06	9.31873888911374E-06	1.04515182741812E-05
P65870		1.66863377479743E-07	4.48930301255304E-07	3.54533578272394E-07	3.57176389061181E-07	3.93259252221317E-07	5.00961133730945E-07	4.02268984485587E-07	2.81426276044999E-07	3.55616989779354E-07	3.91476829022294E-07	2.95152812454565E-07	1.45846695982843E-07	1.95447172829532E-07	1.90144286298497E-07	2.38558666891106E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.47897877350694E-07
P64554		2.07162622440762E-07	3.41423665950148E-07	2.28854039796753E-07	2.0426017634142E-07	2.05790822795049E-07	3.40860518169198E-07	2.86515393261661E-07	2.45954938441223E-07	2.38634538760699E-07	2.32132185084862E-07	2.84421622511976E-07	1.61657568963006E-07	1.75053316325596E-07	1.83959198145662E-07	2.21292952977479E-07	NaN	NaN	NaN	NaN	NaN	NaN	9.02827379905716E-08	NaN	NaN	NaN	NaN	NaN	NaN
P0A6P9		4.21076790481398E-05	8.93997571548124E-05	4.24203705529702E-05	5.9251230015637E-05	5.93068216904584E-05	6.40500974799279E-05	5.05547376797613E-05	5.09011407370483E-05	3.93800528755516E-05	4.58466136485983E-05	8.55411105524446E-05	3.86420119183873E-05	3.41348886514787E-05	3.29957889497314E-05	4.48929138444786E-05	9.40255507547468E-05	7.89842382499535E-05	7.75249767738949E-05	7.8837758589374E-05	9.63274602541874E-05	9.80535216829248E-05	9.97052667820545E-05	9.34186696098751E-05	9.45642791150218E-05	0.000103268545405583	0.000106596853790989	0.000121299633101124	0.000123041738270827
